19:35:15 car=True|15.9 pub=20.24 pire=86.3% biais=0.0
19:35:19 car=True|15.9 pub=20.18 pire=86.1% biais=0.0
19:35:22 car=True|15.9 pub=20.18 pire=86.2% biais=0.0
19:35:25 car=True|15.8 pub=20.14 pire=85.9% biais=0.0
19:35:28 car=True|15.8 pub=20.05 pire=86.1% biais=0.0
19:35:31 car=True|15.8 pub=20.05 pire=85.8% biais=0.0
19:35:35 car=True|15.8 pub=20.11 pire=85.9% biais=0.0
19:35:38 car=True|15.9 pub=20.03 pire=86.0% biais=0.0
19:35:41 car=True|15.9 pub=20.03 pire=86.2% biais=0.0
19:35:45 car=True|16.0 pub=20.16 pire=86.6% biais=0.0
19:35:48 car=True|16.0 pub=20.19 pire=86.7% biais=0.0
19:35:52 car=True|15.9 pub=20.19 pire=86.7% biais=0.0
19:35:55 car=True|15.9 pub=20.29 pire=86.6% biais=0.0
19:35:58 car=True|15.8 pub=20.12 pire=86.4% biais=0.0
19:36:01 car=True|15.8 pub=20.22 pire=86.3% biais=0.0
19:36:06 car=True|15.8 pub=20.22 pire=86.4% biais=0.0
19:36:09 car=True|15.8 pub=20.1 pire=86.2% biais=0.0
19:36:12 car=True|15.8 pub=20.17 pire=86.1% biais=0.0
19:36:15 car=True|15.8 pub=20.17 pire=86.0% biais=0.0
19:36:19 car=True|15.8 pub=20.05 pire=86.1% biais=0.0
19:36:22 car=True|15.8 pub=20.05 pire=86.1% biais=0.0
19:36:25 car=True|15.8 pub=20.16 pire=86.1% biais=0.0
19:36:28 car=True|15.8 pub=20.05 pire=86.1% biais=0.0
19:36:31 car=True|15.8 pub=20.05 pire=85.9% biais=0.0
19:36:35 car=True|15.9 pub=20.14 pire=86.0% biais=0.0
19:36:38 car=True|15.9 pub=20.06 pire=86.1% biais=0.0
19:36:41 car=True|16.1 pub=20.06 pire=86.3% biais=0.0
19:36:44 car=True|16.1 pub=20.29 pire=86.7% biais=0.0
19:36:48 car=True|15.9 pub=20.28 pire=87.5% biais=0.0
19:36:51 car=True|15.9 pub=20.28 pire=86.7% biais=0.0
19:36:55 car=True|15.9 pub=20.32 pire=87.0% biais=0.0
19:36:58 car=True|15.8 pub=20.14 pire=86.4% biais=0.0
19:37:01 car=True|15.8 pub=20.14 pire=86.4% biais=0.0
19:37:04 car=True|15.8 pub=20.2 pire=86.2% biais=0.0
19:37:08 car=True|15.8 pub=20.08 pire=86.2% biais=0.0
19:37:11 car=True|15.8 pub=20.08 pire=86.4% biais=0.0
19:37:14 car=True|15.8 pub=20.25 pire=86.0% biais=0.0
19:37:17 car=True|15.9 pub=20.02 pire=85.6% biais=0.0
